tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
20162;25.00;44.3;2031;0.10;-0.46;9.26;8.35;-0.84;2.83;19.50;974.2;0.0
20182;25.10;44.2;0;0.13;-0.37;9.44;2.97;-2.55;-1.12;19.56;974.2;0.0
20202;25.10;44.3;2031;0.13;-0.36;9.37;4.26;1.12;1.34;19.60;974.2;0.0
20223;25.10;44.3;0;0.16;-0.34;9.30;-2.16;0.41;1.61;19.63;974.2;0.0
20243;25.20;44.4;2031;0.12;-0.36;9.38;-6.13;1.70;-1.22;19.68;974.2;0.0
20264;25.20;44.4;0;0.15;-0.37;9.37;0.93;-0.33;0.86;19.72;974.1;0.0
20284;25.20;44.4;2050;0.10;-0.41;9.37;1.61;0.19;0.78;19.75;974.2;0.0
20305;25.30;44.3;0;0.16;-0.40;9.25;3.35;4.90;-3.30;19.79;974.1;0.0
20325;25.30;44.4;2063;0.14;-0.44;9.29;5.09;0.51;0.69;19.83;974.2;0.0
20346;25.30;44.4;0;0.09;-0.40;9.37;1.48;-0.18;-0.23;19.86;974.1;0.1
20366;25.30;44.3;2081;0.15;-0.35;9.32;-3.62;-0.72;-0.20;19.90;974.1;0.0
20387;25.30;44.3;0;0.13;-0.39;9.33;2.49;-0.05;2.47;19.92;974.1;0.0
20407;25.30;44.3;2081;0.16;-0.47;9.19;15.46;-0.20;3.96;19.97;974.2;0.0
20428;25.40;44.3;0;0.12;-0.45;9.27;-24.82;-0.79;-5.72;20.00;974.2;0.0
20448;25.40;44.3;2081;0.12;-0.37;9.35;-12.53;0.60;-0.11;20.04;974.2;0.1
20469;25.40;44.4;0;0.16;-0.41;9.29;-29.22;0.73;-4.43;20.08;974.2;0.1
20489;25.40;44.4;2094;0.12;-0.38;9.22;-24.68;0.54;-3.29;20.10;974.1;0.1
20509;25.50;44.5;0;0.15;-0.43;9.35;-1.74;-1.71;-1.95;20.14;974.2;0.1
20530;25.50;44.4;2150;0.12;-0.41;9.28;-6.53;0.09;0.82;20.18;974.2;0.1
20550;25.50;44.5;0;0.08;-0.45;9.25;-6.88;1.70;-0.40;20.20;974.2;0.1
20570;25.50;44.5;2144;0.07;-0.45;9.25;-1.18;-0.09;-1.67;20.25;974.2;0.1
20591;25.50;44.6;0;0.14;-0.42;9.25;-25.10;-2.10;-7.25;20.28;974.2;0.1
20611;25.60;44.6;2150;0.13;-0.46;9.26;-11.36;0.70;-0.20;20.32;974.1;0.1
20632;25.60;44.7;0;0.12;-0.45;9.34;-27.38;0.01;1.25;20.37;974.1;0.1
20652;25.60;44.8;2156;0.09;-0.42;9.34;-16.29;-0.64;-4.43;20.42;974.2;0.1
20673;25.70;44.7;0;0.15;-0.38;9.29;7.94;0.01;1.29;20.46;974.2;0.1
20693;25.70;44.7;2175;0.11;-0.36;9.35;29.53;-0.56;6.16;20.50;974.2;0.1
20714;25.70;44.6;0;0.13;-0.43;9.23;8.31;-0.40;-0.80;20.55;974.1;0.1
20734;25.70;44.7;2213;0.12;-0.41;9.33;1.80;-0.24;-0.15;20.60;974.2;0.1
20755;25.80;44.6;0;0.05;-0.39;9.26;3.32;-0.59;1.62;20.65;974.2;0.1
20775;25.80;44.7;2219;0.13;-0.44;9.17;-13.92;1.44;-1.59;20.71;974.2;0.1
20796;25.90;44.7;0;0.11;-0.37;9.17;-0.79;0.66;0.26;20.75;974.2;0.1
20816;25.90;44.7;2213;0.17;-0.43;9.26;-2.71;0.24;0.24;20.80;974.2;0.1
20837;26.00;44.6;0;0.11;-0.38;9.29;3.78;-0.43;1.43;20.85;974.3;0.1
20857;26.00;44.5;2188;0.08;-0.40;9.21;1.28;0.08;1.16;20.90;974.2;0.1
20878;26.00;44.6;0;0.05;-0.40;9.23;-7.75;0.97;-1.37;20.95;974.2;0.1
20898;26.10;44.5;2188;0.09;-0.43;9.31;-8.65;-1.01;0.67;20.99;974.2;0.0
20918;26.10;44.5;0;0.09;-0.36;9.30;1.32;0.11;-0.64;21.04;974.2;0.0
20938;26.20;44.5;2163;0.12;-0.38;9.30;-2.19;-0.07;0.51;21.10;974.2;0.0
20959;26.20;44.5;0;0.12;-0.41;9.23;-0.81;0.67;1.15;21.14;974.1;0.0
20979;26.30;44.5;2131;0.11;-0.43;9.22;10.16;-0.56;1.90;21.19;974.2;0.0
21000;26.30;44.5;0;0.15;-0.39;9.25;16.33;-0.16;2.66;21.23;974.2;0.0
21020;26.30;44.5;2113;0.12;-0.38;9.24;8.48;-0.29;1.76;21.28;974.2;0.0
21041;26.40;44.6;0;0.17;-0.42;9.23;12.46;-1.48;2.76;21.32;974.3;0.0
21061;26.40;44.6;2150;0.17;-0.45;9.25;12.66;0.01;3.09;21.36;974.2;0.0
21082;26.50;44.5;0;0.13;-0.42;9.27;12.09;-0.23;2.06;21.39;974.2;0.1
21102;26.50;44.5;2181;0.13;-0.44;9.25;0.62;0.28;0.63;21.43;974.2;0.0
21123;26.50;44.4;0;0.10;-0.42;9.17;-4.23;0.19;-0.23;21.48;974.2;0.1
21143;26.60;44.4;2206;0.10;-0.44;9.29;0.51;0.18;0.42;21.52;974.2;0.1
21164;26.60;44.4;0;0.08;-0.37;9.32;2.40;-0.74;0.59;21.56;974.2;0.1
21184;26.60;44.3;2231;0.12;-0.40;9.23;4.39;0.12;1.05;21.60;974.2;0.1
21205;26.70;44.3;0;0.10;-0.43;9.19;9.91;-0.14;1.44;21.64;974.2;0.1
21225;26.70;44.4;2225;0.11;-0.44;9.16;-37.81;-1.59;-8.79;21.68;974.2;0.1
21246;26.70;44.4;0;0.11;-0.45;9.22;-8.48;-0.92;0.57;21.72;974.2;0.1
21266;26.70;44.4;2213;0.10;-0.43;9.17;7.20;0.49;1.36;21.76;974.2;0.1
21286;26.80;44.3;0;0.12;-0.47;9.17;-31.81;0.44;-4.08;21.80;974.2;0.1
21306;26.80;44.2;2244;0.14;-0.35;9.15;-13.60;0.59;-2.29;21.85;974.1;0.1
21327;26.90;44.2;0;0.15;-0.43;9.17;-3.87;-0.17;0.49;21.88;974.2;0.1
21347;26.90;44.2;2244;0.11;-0.34;9.26;-8.18;2.31;-0.53;21.95;974.2;0.1
21368;26.90;44.2;0;0.13;-0.43;9.22;-3.22;-0.06;0.28;21.99;974.2;0.1
21388;26.90;44.2;2288;0.12;-0.42;9.18;2.29;0.74;1.70;22.04;974.2;0.0
21409;27.00;44.2;0;0.16;-0.39;9.25;3.93;-0.43;0.58;22.07;974.2;0.0
21429;27.00;44.1;2294;0.11;-0.44;9.19;2.86;0.43;1.91;22.12;974.2;0.1
21450;27.10;44.1;0;0.10;-0.40;9.21;8.99;0.72;1.19;22.16;974.3;0.1
21470;27.10;44.1;2306;0.11;-0.37;9.20;-1.23;1.10;-1.04;22.20;974.2;0.0
21491;27.10;44.0;0;0.13;-0.41;9.25;-5.21;-0.51;0.09;22.25;974.3;0.1
21511;27.20;44.0;2338;0.13;-0.32;9.20;-7.30;0.49;-0.08;22.29;974.2;0.1
21532;27.20;44.0;0;0.16;-0.44;9.19;0.59;0.16;0.50;22.33;974.2;0.1
21552;27.30;43.9;2294;0.11;-0.46;9.14;1.94;0.08;1.16;22.38;974.2;0.1
21573;27.30;43.8;0;0.11;-0.33;9.13;-5.77;0.60;-0.50;22.41;974.2;0.1
21593;27.30;43.9;2244;0.15;-0.43;9.22;4.99;0.22;1.45;22.46;974.2;0.1
21614;27.30;43.8;0;0.16;-0.37;9.21;-2.11;0.03;0.21;22.49;974.2;0.1
21634;27.40;43.8;2294;0.12;-0.40;9.13;-1.71;0.28;0.17;22.54;974.1;0.1
21654;27.40;43.8;0;0.12;-0.36;9.17;-7.42;-0.20;-0.25;22.59;974.1;0.1
21674;27.50;43.7;2288;0.13;-0.37;9.13;-9.22;-0.55;6.89;22.63;974.2;0.1
21695;27.50;43.7;0;0.15;-0.39;9.09;-2.20;-0.03;0.08;22.67;974.1;0.1
21715;27.50;43.7;2294;0.15;-0.37;9.23;19.61;1.58;4.11;22.71;974.2;0.1
21736;27.60;43.7;0;0.16;-0.34;9.18;1.97;-0.07;1.37;22.75;974.2;0.1
21756;27.60;43.7;2325;0.16;-0.33;9.16;-8.04;0.45;-0.75;22.80;974.2;0.1
21777;27.60;43.6;0;0.11;-0.39;9.14;-1.24;-0.04;-0.62;22.84;974.2;0.1
21797;27.70;43.7;2331;0.08;-0.40;9.18;-2.20;-0.06;0.89;22.88;974.2;0.1
21818;27.70;43.6;0;0.09;-0.37;9.23;0.66;0.43;0.49;22.92;974.1;0.1
21838;27.80;43.5;2331;0.13;-0.43;9.13;-3.52;0.31;0.15;22.96;974.1;0.1
21859;27.80;43.5;0;0.11;-0.41;9.17;-3.09;0.13;0.47;23.01;974.1;0.1
21879;27.80;43.5;2344;0.09;-0.43;9.21;-3.26;0.21;-0.03;23.05;974.1;0.1
21900;27.90;43.5;0;0.13;-0.40;9.22;-0.08;0.02;0.51;23.10;974.2;0.1
21920;27.90;43.5;2356;0.19;-0.44;9.18;-0.11;0.10;0.01;23.14;974.1;0.1
21941;27.90;43.4;0;0.12;-0.45;9.28;-4.13;-0.14;0.02;23.19;974.2;0.1
21961;28.00;43.5;2363;0.05;-0.40;9.19;-3.86;-0.18;-0.42;23.23;974.1;0.1
21982;28.00;43.5;0;0.13;-0.39;9.16;-11.48;-1.35;-4.45;23.27;974.2;0.1
22002;28.10;43.5;2375;0.09;-0.44;9.15;-2.10;-0.07;-0.27;23.31;974.2;0.1
22022;28.10;43.4;0;0.12;-0.41;9.16;-9.13;0.06;-0.80;23.38;974.1;0.1
22043;28.20;43.4;2338;0.07;-0.38;9.12;-16.39;0.84;-2.24;23.42;974.2;0.1
22063;28.20;43.3;0;0.13;-0.44;9.20;-1.20;-0.30;0.47;23.46;974.2;0.1
22083;28.20;43.2;2306;0.21;-0.41;9.23;-3.75;0.76;-0.33;23.51;974.1;0.0
22104;28.30;43.2;0;0.10;-0.38;9.15;-2.60;0.48;0.73;23.55;974.1;0.0
22124;28.30;43.2;2306;0.12;-0.41;9.14;-1.13;-0.24;0.44;23.59;974.2;0.0
22145;28.40;43.1;0;0.16;-0.47;9.12;-8.07;-0.14;-0.42;23.63;974.1;0.0
22165;28.40;43.1;2263;0.12;-0.34;9.14;-12.93;-0.45;-1.30;23.67;974.1;0.0
22186;28.40;43.1;0;0.06;-0.39;9.17;7.02;-1.13;-2.48;23.70;974.2;0.0
22206;28.50;43.0;2244;0.10;-0.46;9.12;-10.68;-0.04;-1.81;23.74;974.1;0.0
22227;28.50;43.0;0;0.09;-0.39;9.19;-11.66;0.22;-0.34;23.78;974.1;0.0
22247;28.60;43.0;2269;0.16;-0.38;9.14;-4.56;0.21;-0.04;23.81;974.1;0.0
22268;28.60;42.9;0;0.16;-0.42;9.10;2.29;0.18;1.15;23.85;974.1;0.1
22288;28.60;43.0;2344;0.13;-0.37;9.18;-0.32;0.25;0.91;23.88;974.2;0.1
22309;28.70;42.9;0;0.18;-0.41;9.14;-6.57;1.22;-1.34;23.91;974.1;0.1
22329;28.70;42.9;2388;0.11;-0.37;9.22;-1.77;0.05;0.88;23.94;974.2;0.1
22350;28.70;42.8;0;0.15;-0.35;9.13;-1.15;1.94;2.12;23.98;974.1;0.1
22370;28.70;42.8;2406;0.11;-0.31;9.15;-3.67;-1.04;-3.82;24.01;974.1;0.1
22390;28.80;42.8;0;0.11;-0.41;9.09;23.32;2.60;4.67;24.04;974.1;0.1
22411;28.80;42.8;2356;0.13;-0.43;9.11;39.34;-3.34;8.23;24.09;974.1;0.1
22431;28.80;42.7;0;0.12;-0.43;9.20;-2.47;-0.43;0.40;24.11;974.0;0.1
22451;28.80;42.7;2356;0.09;-0.37;9.17;-16.71;3.02;-3.40;24.16;974.1;0.1
22472;28.80;42.6;0;0.08;-0.43;9.17;6.22;0.30;2.25;24.20;974.1;0.1
22492;28.90;42.5;2338;0.12;-0.37;9.15;-18.51;-0.01;-2.66;24.22;974.0;0.1
22513;28.90;42.6;0;0.16;-0.46;9.02;-5.58;-0.14;-0.94;24.27;974.1;0.0
22533;28.90;42.4;2263;0.07;-0.39;9.10;22.39;-1.12;4.63;24.31;974.1;0.0
22554;29.00;42.4;0;0.09;-0.36;9.13;10.32;3.86;4.20;24.34;974.1;0.0
22574;29.00;42.4;2269;0.24;-0.39;9.12;-9.73;-14.20;2.28;24.36;974.1;0.0
22595;29.00;42.3;0;0.12;-0.52;9.17;37.53;-0.72;7.71;24.40;974.1;0.0
22615;29.10;42.3;2225;0.10;-0.40;9.12;-8.43;0.70;-1.68;24.42;974.0;0.0
22636;29.10;42.2;0;0.12;-0.41;9.20;6.66;-0.62;1.93;24.45;974.0;0.0
22656;29.10;42.2;2250;0.07;-0.40;9.22;-15.49;0.00;-0.95;24.48;974.0;0.0
22677;29.10;42.3;0;0.08;-0.39;9.13;4.49;0.42;1.23;24.51;974.0;0.0
22697;29.20;42.3;2263;0.13;-0.41;9.21;-13.10;-0.27;-0.45;24.53;974.1;0.1
22718;29.20;42.2;0;0.10;-0.44;9.43;24.92;-1.40;1.71;24.55;974.1;0.1
22738;29.20;42.2;2263;-0.05;-0.46;9.64;50.74;2.30;14.33;24.58;974.0;0.1
22759;29.20;42.2;0;0.15;-0.46;9.45;-12.06;1.19;-1.70;24.61;974.1;0.1
22779;29.20;42.2;2263;0.12;-0.38;9.40;-41.46;0.19;-7.01;24.62;974.1;0.1
22799;29.20;42.2;0;0.05;-0.33;9.41;-28.62;2.05;-4.98;24.64;974.1;0.1
22819;29.20;42.2;2269;-0.37;-0.46;9.72;39.88;-12.19;-11.53;24.69;974.1;0.1
22840;29.20;42.1;0;0.11;-0.35;9.64;-56.84;-8.01;-15.01;24.71;974.0;0.1
22860;29.20;42.2;2244;-0.01;-0.18;9.69;-14.92;0.83;-4.30;24.72;974.1;0.1
22881;29.10;42.2;0;-0.04;-0.40;9.68;5.84;9.41;-3.47;24.74;974.1;0.1
22901;29.20;42.3;2256;-0.07;-0.36;9.64;29.78;-1.03;9.80;24.76;974.1;0.1
22922;29.20;42.3;0;-0.27;-1.18;10.04;189.16;5.23;41.51;24.79;974.1;0.1
22942;29.20;42.3;2263;0.30;-0.43;9.77;-3.21;0.42;-1.87;24.81;974.1;0.1
22963;29.20;42.3;0;-0.08;-0.44;9.67;-12.39;4.82;-12.45;24.83;974.1;0.1
22983;29.20;42.3;2256;0.08;-0.43;9.79;22.83;0.73;6.65;24.84;974.1;0.0
23004;29.20;42.3;0;0.06;-0.41;9.64;15.32;-0.47;6.13;24.85;974.1;0.1
23024;29.20;42.3;2263;0.00;-0.38;9.71;-4.25;0.83;0.76;24.87;974.1;0.1
23045;29.20;42.3;0;0.05;-0.39;9.78;-8.80;1.41;-1.91;24.88;974.1;0.1
23065;29.20;42.2;2281;-0.05;-0.39;9.77;-13.13;1.04;-3.40;24.90;974.1;0.1
23086;29.30;42.3;0;0.24;-0.06;9.59;-67.17;2.01;-31.47;24.91;974.1;0.1
23106;29.30;42.1;2281;0.05;-0.37;9.79;40.61;1.25;4.46;24.94;974.1;0.1
23127;29.30;42.1;0;0.05;-0.40;9.65;39.31;2.86;10.09;24.95;974.1;0.1
23147;29.30;42.2;2275;0.02;-0.47;9.65;32.69;0.96;6.80;24.97;974.1;0.1
23167;29.30;42.1;0;-0.15;-0.36;9.54;48.27;-14.24;16.79;24.98;974.1;0.1
23188;29.30;42.1;2256;0.01;-0.43;9.66;7.34;-1.36;6.49;25.00;974.2;0.1
23208;29.40;42.1;0;0.09;-0.41;9.67;-25.11;1.82;-4.34;25.01;974.1;0.1
23228;29.40;42.1;2238;-0.00;-0.46;9.71;-27.91;2.42;-10.27;25.02;974.1;0.1
23249;29.40;42.1;0;0.06;-0.44;9.81;9.90;-0.27;4.23;25.03;974.2;0.1
23269;29.40;42.1;2238;0.03;-0.43;9.79;12.55;-0.02;3.38;25.04;974.2;0.1
23290;29.40;42.1;0;0.04;-0.38;9.62;-22.00;-0.66;-4.62;25.06;974.1;0.1
23310;29.40;42.1;2275;-0.10;-0.40;9.70;17.94;-0.11;4.54;25.07;974.1;0.1
23331;29.50;42.1;0;0.00;-0.42;9.66;19.54;-0.57;4.95;25.09;974.0;0.1
23351;29.50;42.0;2325;0.05;-0.49;9.73;59.57;0.18;13.57;25.12;974.1;0.1
23372;29.50;42.0;0;0.04;-0.33;9.71;9.72;0.75;3.08;25.13;974.1;0.1
23392;29.50;42.0;2313;0.01;-0.44;9.71;9.66;0.12;2.96;25.15;974.1;0.1
23413;29.50;42.0;0;-0.00;-0.39;9.78;0.63;0.35;0.90;25.17;974.1;0.1
23433;29.60;42.0;2300;0.04;-0.43;9.56;-1.93;0.12;0.34;25.19;974.1;0.1
23454;29.60;42.1;0;0.07;-0.33;9.69;0.54;0.11;1.60;25.21;974.1;0.1
23474;29.60;42.0;2288;-0.02;-0.40;9.71;-4.10;0.28;-0.47;25.23;974.1;0.1
23495;29.60;42.0;0;-0.01;-0.41;9.64;-0.28;0.51;0.99;25.25;974.1;0.1
23515;29.70;42.0;2269;0.00;-0.41;9.66;-0.64;-0.30;1.34;25.27;974.1;0.1
23535;29.70;42.0;0;0.10;-0.42;9.72;9.84;0.07;2.31;25.30;974.2;0.1
23556;29.70;42.0;2263;0.04;-0.40;9.76;3.58;0.05;0.73;25.32;974.1;0.1
23576;29.80;41.9;0;0.02;-0.40;9.73;1.91;0.58;1.09;25.34;974.1;0.1
23596;29.80;41.9;2306;0.03;-0.36;9.75;1.70;0.13;1.48;25.36;974.1;0.1
23617;29.90;41.9;0;0.05;-0.37;9.67;-2.71;0.31;0.04;25.38;974.1;0.1
23637;29.90;41.9;2300;0.03;-0.40;9.70;0.03;0.04;0.18;25.40;974.0;0.1
23658;29.90;41.8;0;0.00;-0.43;9.64;2.13;0.49;0.79;25.42;974.1;0.1
23678;29.90;41.9;2281;0.04;-0.36;9.63;-1.70;0.18;0.30;25.44;974.1;0.2
23699;30.00;41.8;0;-0.01;-0.35;9.71;0.78;0.43;-0.45;25.47;974.1;0.1
23719;30.00;41.8;2281;0.03;-0.39;9.69;-4.77;0.01;-0.14;25.50;974.1;0.1
23740;30.00;41.8;0;0.00;-0.36;9.76;-0.76;0.61;1.07;25.52;974.1;0.1
23760;30.10;41.7;2288;0.04;-0.37;9.61;-0.06;0.38;0.80;25.54;974.1;0.1
23781;30.10;41.7;0;0.06;-0.36;9.72;-2.95;0.58;-0.24;25.56;974.1;0.1
23801;30.10;41.7;2319;0.06;-0.38;9.70;1.54;0.34;0.71;25.59;974.2;0.1
23822;30.20;41.6;0;0.03;-0.34;9.63;-1.94;0.22;0.20;25.61;974.1;0.1
23842;30.20;41.6;2325;0.07;-0.36;9.72;0.23;0.58;0.55;25.64;974.1;0.1
23863;30.30;41.6;0;0.04;-0.41;9.71;2.29;0.08;1.06;25.66;974.1;0.1
23883;30.30;41.6;2313;-0.02;-0.38;9.69;-3.86;0.29;-0.43;25.69;974.2;0.1
23903;30.30;41.6;0;-0.01;-0.37;9.69;0.56;0.48;0.75;25.70;974.1;0.1
23924;30.30;41.6;2294;-0.07;-0.38;9.73;-10.93;1.55;-1.22;25.73;974.1;0.0
23944;30.40;41.5;0;0.03;-0.34;9.64;1.38;-0.19;1.98;25.75;974.1;0.0
23964;30.40;41.4;2294;0.04;-0.42;9.70;4.02;-0.17;2.11;25.77;974.1;0.0
23985;30.40;41.5;0;-0.04;-0.49;9.63;-0.13;0.69;0.57;25.81;974.1;0.0
24005;30.40;41.5;2306;0.01;-0.35;9.70;0.26;-0.24;2.39;25.83;974.1;0.0
24026;30.40;41.5;0;-0.02;-0.42;9.70;2.19;0.00;1.05;25.86;974.1;0.1
24046;30.50;41.5;2313;0.04;-0.39;9.67;-2.07;0.26;0.08;25.88;974.1;0.1
24067;30.50;41.5;0;0.01;-0.38;9.71;-8.75;0.05;-1.43;25.90;974.1;0.0
24087;30.50;41.5;2350;0.02;-0.40;9.70;33.29;-0.75;8.38;25.92;974.1;0.0
24108;30.50;41.4;0;-0.01;-0.38;9.71;-5.74;-0.56;-0.82;25.96;974.2;0.1
24128;30.50;41.4;2331;0.01;-0.38;9.64;0.03;0.25;0.86;25.97;974.1;0.0
24149;30.60;41.4;0;0.01;-0.40;9.66;1.84;0.25;0.92;26.01;974.2;0.1
24169;30.60;41.4;2369;0.02;-0.43;9.66;-1.32;0.10;0.29;26.03;974.1;0.1
24190;30.60;41.4;0;0.06;-0.40;9.73;-8.23;-0.12;-0.43;26.05;974.2;0.1
24210;30.60;41.4;2356;0.00;-0.32;9.69;-13.54;0.05;-1.65;26.08;974.2;0.1
24231;30.70;41.4;0;-0.00;-0.35;9.69;-6.19;-0.14;-0.53;26.10;974.1;0.1
24251;30.70;41.4;2369;0.04;-0.42;9.68;-2.17;0.85;0.09;26.13;974.2;0.1
24272;30.70;41.4;0;0.03;-0.43;9.65;-5.93;0.30;-0.75;26.16;974.1;0.1
24292;30.70;41.3;2344;0.00;-0.37;9.65;-1.41;0.24;0.23;26.19;974.1;0.1
24312;30.80;41.4;0;-0.03;-0.38;9.63;-0.68;0.05;0.61;26.21;974.1;0.1
24332;30.80;41.4;2350;0.02;-0.41;9.58;-9.22;0.96;-1.33;26.23;974.1;0.1
24353;30.80;41.3;0;-0.01;-0.37;9.67;-9.82;0.99;-2.93;26.26;974.1;0.1
24373;30.80;41.3;2325;-0.01;-0.41;9.62;-5.29;1.93;-1.40;26.28;974.1;0.1
24394;30.90;41.3;0;0.03;-0.35;9.59;-36.09;-0.21;-8.46;26.31;974.1;0.1
24414;30.90;41.3;2306;0.04;-0.33;9.62;-0.36;0.27;1.31;26.33;974.1;0.0
24435;30.90;41.3;0;0.06;-0.37;9.58;-0.78;1.45;1.62;26.36;974.0;0.0
24455;30.90;41.3;2294;-0.04;-0.41;9.70;6.71;-0.53;2.80;26.37;974.1;0.0
24476;31.00;41.2;0;0.07;-0.38;9.76;3.82;1.25;-0.19;26.40;974.1;0.0
24496;31.00;41.2;2306;0.00;-0.43;9.65;50.26;0.13;9.13;26.43;974.1;0.0
24517;31.00;41.2;0;-0.03;-0.44;9.65;10.78;0.28;3.53;26.47;974.1;0.0
24537;31.10;41.1;2319;-0.01;-0.40;9.63;-2.99;-0.01;-0.24;26.49;974.1;0.0
24558;31.10;41.2;0;-0.01;-0.38;9.60;-6.27;0.44;-1.10;26.52;974.2;0.0
24578;31.10;41.1;2325;0.08;-0.43;9.58;2.74;0.45;-0.13;26.53;974.1;0.0
24599;31.10;41.1;0;0.04;-0.37;9.69;12.97;-1.59;-6.98;26.55;974.1;0.0
24619;31.10;41.0;2294;0.01;-0.38;9.73;-12.12;0.87;-1.70;26.57;974.1;0.0
24640;31.10;41.0;0;-0.05;-0.43;9.69;-32.44;-0.56;-6.43;26.59;974.1;0.0
24660;31.10;41.0;2306;-0.03;-0.45;9.65;17.49;0.12;4.73;26.60;974.0;0.0
24680;31.20;41.0;0;0.05;-0.46;9.63;-27.41;0.65;-5.05;26.62;974.1;0.0
24700;31.20;41.1;2306;-0.01;-0.44;9.58;-20.61;0.35;-3.55;26.62;974.1;0.0
24721;31.20;41.1;0;0.12;-0.44;9.75;-18.68;1.84;-1.10;26.64;974.1;0.0
24741;31.20;41.1;2288;0.08;-0.37;9.65;-3.06;-3.51;-2.20;26.66;974.1;0.0
24762;31.20;41.0;0;0.13;-0.41;9.63;-27.03;-3.05;3.98;26.67;974.0;0.0
24782;31.20;41.0;2250;0.39;0.09;9.27;-44.90;5.15;-10.72;26.69;974.1;0.0
24803;31.20;41.0;0;0.06;-0.43;9.59;33.55;2.70;5.92;26.71;974.1;0.0
24823;31.20;40.9;2269;0.03;-0.40;9.63;-18.03;-2.60;-0.97;26.72;974.1;0.1
24844;31.20;40.9;0;0.03;-0.39;9.61;-10.34;1.35;-2.42;26.73;974.0;0.1
24864;31.20;41.0;2300;-0.07;-0.47;9.69;-1.34;0.21;-0.08;26.74;974.1;0.1
24885;31.20;41.0;0;-0.02;-0.44;9.70;-3.11;0.74;-1.75;26.76;974.1;0.1
24905;31.20;41.1;2350;0.05;-0.35;9.61;17.52;-1.48;4.04;26.76;974.0;0.1
24926;31.10;41.1;0;0.02;-0.34;9.61;-1.84;-1.27;-2.12;26.78;974.0;0.1
24946;31.10;41.1;2338;0.01;-0.34;9.59;1.55;0.62;1.07;26.79;974.1;0.1
24967;31.10;41.1;0;0.01;-0.38;9.71;-2.47;0.30;-0.31;26.81;974.2;0.1
24987;31.10;41.1;2338;0.08;-0.40;9.67;7.70;-6.05;-0.33;26.81;974.0;0.1
25008;31.10;41.2;0;0.04;-0.38;9.72;-16.67;-1.65;0.79;26.83;974.1;0.1
25028;31.10;41.1;2344;-0.05;-0.41;9.65;-10.90;1.15;-2.52;26.84;974.1;0.1
25048;31.10;41.1;0;-0.03;-0.38;9.62;-3.90;2.31;0.90;26.86;974.1;0.1
25069;31.10;41.2;2381;-0.01;-0.43;9.70;-3.85;1.05;-0.90;26.88;974.1;0.1
25089;31.10;41.1;0;0.01;-0.47;9.64;-11.48;0.06;-1.86;26.88;974.0;0.1
25109;31.20;41.1;2375;0.00;-0.39;9.69;12.40;-0.24;3.09;26.90;974.0;0.1
25130;31.20;41.2;0;0.00;-0.36;9.65;6.17;0.93;2.43;26.93;974.0;0.1
25150;31.20;41.1;2394;0.05;-0.35;9.73;10.16;0.20;2.94;26.94;974.0;0.1
25171;31.20;41.2;0;-0.01;-0.41;9.57;-9.27;0.00;-1.27;26.96;974.0;0.1
25191;31.20;41.2;2394;0.05;-0.32;9.72;3.85;0.22;1.46;26.96;974.0;0.1
25212;31.20;41.2;0;0.06;-0.43;9.66;9.36;-0.04;1.47;26.99;973.9;0.1
25232;31.20;41.2;2375;0.02;-0.44;9.62;-5.10;0.09;-0.55;27.00;974.0;0.1
25253;31.20;41.2;0;0.03;-0.35;9.75;-30.05;1.13;-6.42;27.02;973.9;0.1
25273;31.20;41.2;2363;0.02;-0.39;9.62;5.12;-0.10;1.00;27.04;973.9;0.1
25294;31.20;41.3;0;0.04;-0.39;9.70;-13.45;0.12;-1.61;27.05;974.0;0.1
25314;31.20;41.3;2388;-0.01;-0.40;9.65;2.25;1.96;1.02;27.08;973.9;0.1
25335;31.20;41.3;0;0.00;-0.42;9.62;12.67;0.48;2.37;27.09;974.0;0.1
25355;31.30;41.3;2419;0.06;-0.40;9.66;31.58;0.62;7.90;27.13;973.9;0.1
25376;31.30;41.3;0;-0.00;-0.35;9.63;7.81;-0.30;2.80;27.14;973.9;0.1
25396;31.30;41.3;2394;-0.02;-0.50;9.60;-7.18;0.59;-0.34;27.17;973.8;0.1
25416;31.30;41.2;0;0.01;-0.46;9.63;-9.27;0.40;-1.46;27.19;973.9;0.1
25437;31.30;41.2;2344;-0.06;-0.39;9.61;-10.30;-0.56;-0.94;27.20;973.9;0.1
25457;31.30;41.2;0;-0.05;-0.42;9.68;-14.17;-1.32;-0.08;27.22;973.8;0.1
25477;31.30;41.2;2350;0.02;-0.38;9.72;7.51;-0.53;-6.24;27.24;973.9;0.1
25498;31.40;41.2;0;0.04;-0.44;9.60;-16.90;-1.53;-3.30;27.26;973.9;0.1
25518;31.40;41.2;2375;0.10;-0.43;9.72;2.33;1.70;5.58;27.28;973.9;0.1
25539;31.40;41.2;0;-0.04;-0.37;9.60;-10.64;1.73;-1.85;27.31;973.9;0.1
25559;31.40;41.2;2375;0.01;-0.46;9.64;-23.76;0.60;-4.01;27.33;973.9;0.1
25580;31.40;41.2;0;0.04;-0.38;9.67;-19.52;-0.14;-6.36;27.35;973.9;0.1
25600;31.40;41.2;2394;0.04;-0.38;9.72;-19.10;0.60;-4.24;27.37;973.9;0.1
