tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
3192;23.90;60.2;1556;0.14;-0.17;9.05;-1.02;-0.06;0.51;20.93;1014.5;0.1
3213;23.90;60.2;0;0.16;-0.18;9.15;-0.96;-0.10;0.53;20.94;1014.5;0.1
3233;23.90;60.2;1569;0.16;-0.18;9.14;-1.10;0.32;0.47;20.93;1014.5;0.1
3253;23.90;60.3;0;0.16;-0.15;9.14;-0.85;-0.11;0.51;20.94;1014.6;0.1
3273;23.90;60.3;1581;0.16;-0.15;9.14;-1.07;0.06;0.49;20.94;1014.6;0.1
3294;23.90;60.3;0;0.11;-0.12;9.12;-1.02;0.11;0.35;20.94;1014.5;0.1
3314;23.90;60.3;1575;0.05;-0.61;9.50;-1.04;-0.01;0.44;20.92;1014.5;0.1
3335;23.90;60.4;0;0.10;-0.64;9.54;-0.76;0.09;0.38;20.90;1014.5;0.1
3355;23.90;60.4;1594;0.02;-0.58;9.54;-0.95;-0.01;0.44;20.91;1014.5;0.1
3376;23.90;60.4;0;0.04;-0.63;9.61;-1.01;0.27;0.55;20.90;1014.5;0.1
3396;23.90;60.4;1606;0.01;-0.57;9.55;-1.12;-0.09;0.40;20.91;1014.5;0.1
3417;23.90;60.4;0;0.09;-0.59;9.47;-1.02;0.12;0.38;20.91;1014.5;0.1
3437;23.90;60.4;1606;0.06;-0.59;9.54;-0.96;-0.02;0.38;20.91;1014.5;0.1
3458;23.90;60.4;0;0.06;-0.61;9.56;-0.85;0.09;0.52;20.91;1014.5;0.1
3478;23.90;60.5;1594;0.06;-0.60;9.52;-0.98;0.08;0.47;20.91;1014.5;0.1
3499;23.90;60.5;0;0.01;-0.61;9.55;-0.94;0.08;0.43;20.91;1014.5;0.1
3519;23.80;60.5;1600;0.07;-0.60;9.45;-1.00;-0.18;0.61;20.92;1014.5;0.1
3540;23.90;60.5;0;0.06;-0.57;9.54;-0.94;0.11;0.39;20.91;1014.4;0.1
3560;23.80;60.6;1606;0.09;-0.63;9.46;-0.96;0.07;0.41;20.92;1014.5;0.1
3581;23.80;60.6;0;0.11;-0.53;9.55;-1.02;0.00;0.55;20.91;1014.5;0.1
3601;23.90;60.6;1600;0.10;-0.56;9.50;-0.98;0.09;0.33;20.92;1014.6;0.1
3621;23.80;60.6;0;0.08;-0.55;9.47;-0.89;0.10;0.37;20.92;1014.5;0.1
3641;23.80;60.6;1594;0.13;-0.59;9.53;-1.06;-0.07;0.51;20.92;1014.5;0.1
3662;23.80;60.6;0;0.04;-0.54;9.52;-0.96;0.12;0.44;20.92;1014.5;0.1
3682;23.80;60.7;1600;0.06;-0.59;9.50;-1.15;0.05;0.41;20.93;1014.6;0.1
3703;23.80;60.7;0;0.13;-0.59;9.51;-0.98;0.00;0.51;20.92;1014.6;0.1
3723;23.80;60.7;1594;0.00;-0.57;9.55;-0.98;0.18;0.44;20.93;1014.5;0.1
3744;23.80;60.7;0;0.09;-0.53;9.57;-0.86;0.05;0.63;20.92;1014.6;0.1
3764;23.80;60.7;1594;0.07;-0.55;9.54;-1.04;0.00;0.37;20.93;1014.6;0.1
3785;23.80;60.7;0;0.05;-0.59;9.48;-1.05;0.05;0.45;20.91;1014.6;0.1
3805;23.80;60.8;1600;0.06;-0.61;9.50;-0.77;0.14;0.43;20.92;1014.6;0.1
3826;23.80;60.8;0;0.07;-0.55;9.52;-0.97;0.06;0.43;20.91;1014.5;0.1
3846;23.80;60.8;1600;0.09;-0.58;9.51;-0.94;-0.14;0.54;20.91;1014.6;0.1
3867;23.80;60.8;0;0.12;-0.54;9.45;-0.98;0.02;0.44;20.91;1014.6;0.1
3887;23.80;60.8;1600;0.05;-0.59;9.55;-1.05;0.09;0.54;20.91;1014.5;0.1
3908;23.70;60.9;0;0.10;-0.59;9.45;-1.01;-0.01;0.34;20.91;1014.6;0.1
3928;23.80;60.9;1606;0.04;-0.61;9.42;-0.91;-0.02;0.34;20.92;1014.6;0.1
3948;23.70;60.9;0;0.11;-0.61;9.55;-0.97;0.05;0.54;20.91;1014.6;0.1
3969;23.80;60.9;1606;0.05;-0.54;9.56;-1.01;-0.05;0.47;20.91;1014.6;0.1
3989;23.70;61.0;0;0.09;-0.57;9.54;-1.06;0.00;0.34;20.91;1014.6;0.1
4009;23.70;61.0;1606;0.05;-0.63;9.50;-0.91;0.09;0.46;20.92;1014.6;0.1
4030;23.70;61.0;0;0.05;-0.59;9.59;-0.93;0.02;0.39;20.91;1014.5;0.1
